"Species"	"Body"	"Brain"
"Fossil_Hesperocyon_gregarius"	7.74066440191724	2.70001802940495
"Fossil_Osbornodon_fricki"	10.5534662376947	4.61729636578593
"Fossil_Mesocyon_brachyops"	8.8942588250027	3.67249597486341
"Fossil_Enhydrocyon_basilatus"	10.2747062219157	4.29973139194705
"Eira_barbara"	8.27129265297941	3.57990129154419
"Martes_pennanti"	8.29404964010203	3.46009502290964
"Martes_foina"	7.33953769540767	3.04022751344054
"Martes_zibellina"	7.02997291170639	2.91777073208428
"Martes_americana"	7.13089883029635	2.76000994003292
"Martes_martes"	7.17011954344963	2.99573227355399
"Martes_flavigula"	7.51752085060303	3.52988372262348
"Gulo_gulo"	9.74155668538991	4.36003661678227
"Poecilogale_albinucha"	5.82894561761021	1.56024766824333
"Ictonyx_striatus"	7.17011954344963	2.28033948404673
"Ictonyx_libyca"	5.99146454710798	1.49962304642689
"Vormela_peregusna"	6.29156913955832	1.56024766824333
"Galictis_cuja"	7.36518012602101	2.71004820376488
"Galictis_vittata"	7.76131918094799	3.14285833844428
"Aonyx_capensis"	9.85219425814858	4.54997455052014
"Aonyx_cinerea"	8.30893825259578	3.46417218082354
"Lutrogale_perspicillata"	9.10497985631836	4.17007027275024
"Lutra_lutra"	9.08136999067922	3.74004774068834
"Lutra_maculicollis"	8.29654652030061	3.68987895444702
"Enhydra_lutris"	10.0647557001323	4.82999232768086
"Lontra_canadensis"	8.96826881077645	3.95718755738252
"Lontra_longicaudis"	8.98719682066197	3.88156379794344
"Lontra_felina"	8.29404964010203	3.65713075579936
"Pteronura_brasiliensis"	10.0858091093301	4.4500356890381
"Mustela_frenata"	5.01063529409626	1.38879124131848
"Neovison_vison"	6.46925031679577	1.94591014905531
"Mustela_erminea"	4.78749174278205	1.38629436111989
"Mustela_lutreolina"	6.08677472691231	2.14006616349627
"Mustela_nigripes"	6.74523634948436	2.14006616349627
"Mustela_putorius"	6.82437367004309	2.11625551480255
"Mustela_sibirica"	6.01615715969835	1.90954250488444
"Mustela_altaica"	5.13579843705026	1.50407739677627
"Mustela_nivalis"	4.60517018598809	0.688134638736401
"Melogale_personata"	7.43838353004431	2.62684014567667
"Melogale_moschata"	6.84428285602656	2.78809290877575
"Meles_meles"	9.47270463644367	3.91999117507732
"Arctonyx_collaris"	8.75778365633417	3.89995042419388
"Mellivora_capensis"	9.04782144247841	4.29004839777753
"Taxidea_taxus"	8.86925752279729	3.88998187455127
"Bassariscus_astutus"	7.02997291170639	2.79971738962803
"Bassariscus_sumichrasti"	6.80239476332431	2.96010509591084
"Procyon_cancrivorus"	8.68101127664563	3.67554088967476
"Procyon_lotor"	8.61794309451638	3.68987895444702
"Nasua_narica"	8.21608809863232	3.63758615972639
"Nasua_nasua"	8.26100978602383	3.39986315864902
"Bassaricyon_alleni"	7.12286665859908	2.91668906621354
"Bassaricyon_gabbii"	7.13089883029635	2.83438912314523
"Potos_flavus"	8.00636756765025	3.23985423125339
"Ailurus_fulgens"	8.49699048409872	3.70990682130601
"Conepatus_chinga"	7.56008046502183	2.69327491552006
"Conepatus_leuconotus"	8.1605182474775	2.67000213346468
"Conepatus_humboldtii"	7.00089036771729	2.37490575457367
"Conepatus_semistriatus"	7.62070508683826	2.94021956362373
"Mephitis_mephitis"	7.64491934495886	2.33020026002702
"Mephitis_macroura"	7.00102701894258	2.13298230860787
"Spilogale_putorius"	5.82894561761021	1.6094379124341
"Fossil_Promephitis_hootoni"	7.33302301438648	2.47401420862158
"Mydaus_javanensis"	7.82404601085629	2.96990151351947
"Odobenus_rosmarus"	14.0529316976966	6.98100574072173
"Otaria_flavescens"	11.8775685785581	5.6641056575033
"Arctocephalus_tropicalis"	12.3779229024568	5.24702407216049
"Arctocephalus_pusillus"	11.2644641056717	5.82156551031258
"Arctocephalus_gazella"	12.4587749990859	5.19351225218191
"Neophoca_cinerea"	12.8212582846204	5.33768230007029
"Arctocephalus_australis"	12.4470561149727	5.05465217951303
"Arctocephalus_galapagoensis"	12.1199699464768	5.03500265054455
"Arctocephalus_forsteri"	12.4379380506563	5.17897060891547
"Arctocephalus_philippii"	12.5084893777389	5.26656866823346
"Phocarctos_hookeri"	12.8758232482837	5.62221082096239
"Zalophus_californianus"	12.7728059012345	5.42164058258004
"Eumetopias_jubatus"	13.6805495725302	6.06675753114341
"Callorhinus_ursinus"	12.5810785461536	5.15692659835605
"Monachus_monachus"	12.8212582846204	5.96742796927974
"Monachus_schauinslandi"	12.0610468734799	5.91350300563827
"Mirounga_angustirostris"	14.2126074164019	6.50727771238501
"Mirounga_leonina"	14.7199817130331	6.55233668835811
"Leptonychotes_weddellii"	12.9732831543902	6.15183867816911
"Hydrurga_leptonyx"	13.2076232213552	6.24125002936861
"Lobodon_carcinophaga"	12.8975559426034	5.94379625340648
"Ommatophoca_rossii"	12.6095357509677	5.87913536213406
"Histriophoca_fasciata"	11.2942718189289	5.5164483760387
"Pagophilus_groenlandicus"	11.7924493497205	5.43951306321481
"Pusa_caspica"	10.9150884642146	5.09067800176979
"Pusa_hispida"	11.1430929094908	5.11697532986758
"Pusa_sibirica"	11.4019939042629	5.23377884541047
"Halichoerus_grypus"	12.5698473265841	5.36480710781687
"Phoca_vitulina"	12.3444858526838	5.14312447714233
"Phoca_largha"	12.0853164443944	5.12396397940326
"Cystophora_cristata"	12.9277829872144	5.7876639586369
"Erignathus_barbatus"	12.5086925903462	6.01817950362556
"Ailuropoda_melanoleuca"	11.5935833679877	5.46001095554602
"Tremarctos_ornatus"	11.6082356447746	5.27438321625241
"Ursus_arctos"	12.0594270651887	5.82393307578666
"Ursus_maritimus"	12.8706917424756	6.13000835655604
"Ursus_americanus"	11.5124253399285	5.55998908356759
"Ursus_thibetanus"	11.2580332153414	5.74999789845316
"Helarctos_malayanus"	10.7472075915754	5.8442687922894
"Melursus_ursinus"	11.4417516455157	5.71998385399421
"Fossil_Indarctos_oregonensis"	13.2094397522816	6.47157319821191
"Fossil_Cephalogale_ursinus"	10.1723689955242	5.21553340506912
"Fossil_Daphoenus_vetus"	10.3557726312882	4.17438726989564
"Fossil_Daphoenus_hartshornianus"	10.0681541740914	4.02535169073515
"Fossil_Daphoenodon_superbus"	10.407620832441	4.89034912822175
"Fossil_Hyaneodon_horridus"	10.8043194093477	4.8283137373023
"Fossil_Cynohyaenodon_cayluxi"	7.82963038915019	2.484906649788
"Fossil_Proviverra_typica"	6.21460809842219	2.59897910604785
"Fossil_Tritemnodon_agilis"	9.09301972939964	3.25809653802148
"Manis_javanica"	8.54675199365778	2.61739583283408
"Tapirus_indicus"	12.3188302302903	5.57226809411352
"Tapirus_terrestris"	11.9734424883258	5.20384183832515
"Rhinoceros_unicornis"	14.6214153411517	6.67749899203072
"Diceros_bicornis"	13.7694588602705	6.42422051545205
"Equus_zebra"	12.5277393912029	6.30627528694802
"Equus_quagga"	12.4271163938002	6.21860011969173
"Fossil_Mesohippus_bairdii"	10.1251900660539	4.44265125649032
"Boselaphus_tragocamelus"	11.7360690162844	5.58799744166249
"Syncerus_caffer"	13.2566844581431	6.44809794179055
"Bison_bison"	12.9750227895056	6.12686918411419
"Bos_primigenius"	12.919592878898	6.12686918411419
"Tragelaphus_strepsiceros"	12.5425448821514	5.88887795833288
"Tragelaphus_scriptus"	10.3186719417052	4.96494033483413
"Tragelaphus_spekii"	10.6454248972655	4.97673374242057
"Tragelaphus_eurycerus"	12.2548628096996	5.93753620508243
"Tragelaphus_imberbis"	11.8844890214027	5.3890717298165
"Tragelaphus_buxtoni"	12.5425448821514	5.79909265446053
"Tragelaphus_angasii"	11.8277362048103	5.4380793089232
"Aepyceros_melampus"	10.7579028806922	5.20235697540213
"Oreotragus_oreotragus"	9.30565055178051	4.0842942263686
"Connochaetes_gnou"	11.9511803959014	5.82894561761021
"Connochaetes_taurinus"	11.9490296977104	5.90153983958
"Alcelaphus_buselaphus"	11.6505111279228	5.65213824150386
"Damaliscus_lunatus"	11.6172854802945	5.67194775113618
"Oryx_dammah"	11.7714361601217	5.32300997913841
"Oryx_gazella"	12.0137007528827	5.67675380226828
"Addax_nasomaculatus"	11.580584113444	5.22035582507832
"Hippotragus_niger"	12.0137007528827	5.64190707093811
"Hippotragus_equinus"	12.3816003429027	5.96074757444592
"Rupicapra_rupicapra"	10.2097582804242	4.76898827121749
"Ammotragus_lervia"	11.6082356447746	5.34233425196481
"Ovis_ammon"	10.9150884642146	4.9416424226093
"Ovibos_moschatus"	12.6523597481586	5.85793315448346
"Pelea_capreolus"	10.0858091093301	4.79579054559674
"Kobus_leche"	11.7199396343546	5.40582557426332
"Kobus_kob"	11.6741936125664	5.31811999384422
"Kobus_ellipsiprymnus"	12.3467037752699	5.74620319054015
"Redunca_redunca"	10.7684849900227	4.81624115606803
"Redunca_arundinum"	10.5505907945947	4.91852000518845
"Redunca_fulvorufula"	10.4042628404486	4.66343909411207
"Philantomba_monticola"	8.41183267575841	3.85904408063726
"Philantomba_maxwellii"	8.11870469009266	4.11087386417331
"Cephalophus_dorsalis"	9.93547059838918	4.37159743918334
"Cephalophus_silvicultor"	10.6689553946757	5.13579843705026
"Cephalophus_zebra"	9.21034037197618	4.4188406077966
"Cephalophus_leucogaster"	9.47270463644367	4.49702802736839
"Cephalophus_nigrifrons"	9.58190392840867	4.46210780314625
"Cephalophus_natalensis"	9.35010231435134	4.31079912538551
"Sylvicapra_grimmia"	9.44343425414356	4.34639945703073
"Raphicerus_campestris"	9.23014299927236	3.93769075217672
"Raphicerus_melanotis"	9.27331517113757	3.76120011569356
"Madoqua_kirkii"	8.37678103769949	3.52636052461616
"Madoqua_saltiana"	8.51719319141624	3.14630513203337
"Saiga_tatarica"	10.5966347330961	4.57130311647651
"Gazella_dorcas"	9.75701564863587	4.25985900069967
"Gazella_gazella"	9.96678295757495	4.33637528925479
"Eudorcas_thomsonii"	9.74096862303835	4.47779125665826
"Eudorcas_rufifrons"	10.1658518170036	4.5798523780038
