genus species body_mass metabolic_rate mass_specific_metabolic_rate brain_size common_name maximum_longevity_yrs data_quality body_mass_AnAge metabolic_rate_AnAge
Hydrochaeris hydrochaeris 26.4 36.6666666666667 1.38888888888889 NA NA NA NA NA NA
Condylura cristata 0.049 0.6125 12.5 NA "Star-nosed mole" 2.5 acceptable 49 0.615
Otomys sloggetti 0.11329 0.742678888888889 6.55555555555556 NA NA NA NA NA NA
Nyctophilus major 0.0136 0.113333333333333 8.33333333333333 NA NA NA NA NA NA
Zaglossus bruijni 13.63 6.1335 0.45 NA "Long-nosed echidna" 41.2 acceptable 11848.6 6.493
Tachyglossus aculeatus 3.43 2.51533333333333 0.733333333333333 NA "Short-beaked echidna" 49.5 acceptable 2909 2.327
Ornithorhynchus anatinus 1.32 2.662 2.01666666666667 NA "Duck-billed platypus" 22.6 acceptable 1030.3 1.931
Notoryctes caurinus 0.034 0.119 3.5 NA NA NA NA NA NA
Mustela erminea 0.041 0.75 18.2926829268293 NA Ermine 12.5 acceptable 125.5 1.276
Mustela erminea 0.045 0.893333333333333 19.8518518518519 NA Ermine 12.5 acceptable 125.5 1.276
Mustela erminea 0.065 0.72 11.0769230769231 NA Ermine 12.5 acceptable 125.5 1.276
Mustela rixosa 0.071 0.91 12.8169014084507 NA NA NA NA NA NA
Mustela rixosa 0.077 1.08333333333333 14.0692640692641 NA NA NA NA NA NA
Mustela rixosa 0.084 0.953333333333333 11.3492063492063 NA NA NA NA NA NA
Mustela erminea 0.08 0.986666666666667 12.3333333333333 NA Ermine 12.5 acceptable 125.5 1.276
Mustela erminea 0.085 1.42666666666667 16.7843137254902 NA Ermine 12.5 acceptable 125.5 1.276
Mustela erminea 0.115 1.04 9.04347826086957 NA Ermine 12.5 acceptable 125.5 1.276
Mustela rixosa 0.223 2.51333333333333 11.270553064275 NA NA NA NA NA NA
Mustela rixosa 0.231 2.22 9.61038961038961 NA NA NA NA NA NA
Cerdocyon thous 6.874 10.2346222222222 1.48888888888889 NA "Crab-eating fox" 12.7 acceptable 5444 8.502
Cerdocyon thous 4.354 6.7487 1.55 NA "Crab-eating fox" 12.7 acceptable 5444 8.502
Vulpes zerda 1.2 3.2 2.66666666666667 NA Fennec 16.3 acceptable 1159.2 2.693
Elephantulus rufescens 0.053 0.315938888888889 5.96111111111111 NA "Rufous elephant shrew" 7.9 acceptable 53 0.317
Oxymycterus roberti 0.071 0.510411111111111 7.18888888888889 NA NA NA NA NA NA
Oxymycterus roberti 0.096 0.47253333333333303 4.92222222222222 NA NA NA NA NA NA
Petrodromus tetradactylus 0.21 0.709333333333333 3.37777777777778 NA "Four-toed elephant shrew" NA low 208 0.852
Cyclopes didactylus 0.24 0.636 2.65 NA "Silky anteater" NA low 240 0.636
Myrmecobius fasciatus 0.4 0.791111111111111 1.97777777777778 NA Numbat 11 acceptable 438.2 0.907
Tachyglossus aculeatus 2.14 1.55744444444444 0.727777777777778 NA "Short-beaked echidna" 49.5 acceptable 2909 2.327
Tachyglossus setosus 3.58 3.043 0.85 NA NA NA NA NA NA
Manis javanica 4.22 6.14244444444444 1.45555555555556 NA NA NA NA NA NA
Tamandua tetradactyla 3.5 4.91944444444444 1.40555555555556 NA "Southern tamandua" 19 acceptable 3500 5.015
Tamandua mexicana 4.21 4.72455555555556 1.12222222222222 NA "Northern tamandua" 16 acceptable 3884.2 5.124
Proteles cristata 7.71 10.8796666666667 1.41111111111111 NA Aardwolf 20 acceptable 7902.6 11.563
Zaglossus bruijni 10.3 6.75222222222222 0.655555555555556 NA "Long-nosed echidna" 41.2 acceptable 11848.6 6.493
Myrmecophaga tridactyla 30.6 14.45 0.472222222222222 NA "Giant anteater" 31 acceptable 30600 14.543
Orycteropus afer 48 34.1333333333333 0.711111111111111 NA Aardvark 29.8 acceptable 48000 34.275
Clethrionomys californicus 0.0183 0.339566666666667 18.5555555555556 NA NA NA NA NA NA
Phenacomys intermedius 0.0215 0.373861111111111 17.3888888888889 NA "Western heather vole" NA low 21.5 0.375
Arborimus longicaudus 0.0218 0.327 15 NA NA NA NA NA NA
Clethrionomys gapperi 0.0214 0.336455555555556 15.7222222222222 NA NA NA NA NA NA
Clethrionomys gapperi 0.0228 0.247 10.8333333333333 NA NA NA NA NA NA
Microtus pinetorum 0.0238 0.310722222222222 13.0555555555556 NA "Woodland vole" 3.8 acceptable 24.8 0.305
Microtus longicaudus 0.0302 0.345622222222222 11.4444444444444 NA "Long-tailed vole" NA low 32.5 0.383
Lagurus curtatus 0.0303 0.279433333333333 9.22222222222222 NA NA NA NA NA NA
Microtus oeconomus 0.0354 0.558533333333333 15.7777777777778 NA "Tundra vole" NA low 32.8 0.566
Microtus montanus 0.0281 0.394961111111111 14.0555555555556 NA NA NA NA NA NA
Microtus montanus 0.0304 0.432355555555556 14.2222222222222 NA NA NA NA NA NA
Microtus montanus 0.0512 0.497777777777778 9.72222222222222 NA NA NA NA NA NA
Lemmus sibiricus 0.044 0.391111111111111 8.88888888888889 NA NA NA NA NA NA
Microtus xanthognathus 0.0685 0.548 8 NA NA NA NA NA NA
Dicrostonyx groenlandicus 0.0605 0.568027777777778 9.38888888888889 NA "Collared lemming" 3.3 acceptable 56.8 0.459
Dicrostonyx groenlandicus 0.0623 0.584927777777778 9.38888888888889 NA "Collared lemming" 3.3 acceptable 56.8 0.459
Arvicola richardsoni 0.08 0.96 12 NA NA NA NA NA NA
Neofiber alleni 0.2581 1.20446666666667 4.66666666666667 NA NA NA NA NA NA
Ondatra zibethicus 1.0046 3.57191111111111 3.55555555555556 NA Muskrat NA low 976.3 4.363
Hylomys sulillus 0.0773 0.446622222222222 5.77777777777778 NA NA NA NA NA NA
Mustela vison 0.656 2.7185125 4.14407393292683 NA NA NA NA NA NA
Mustela vison 0.667 2.703975 4.05393553223388 NA NA NA NA NA NA
Mustela vison 0.788 3.20794166666667 4.07099196277496 NA NA NA NA NA NA
Lepus arcticus 3.0044 6.0088 2 NA NA NA NA NA NA
Cebuella pygmaea 0.096 0.522666666666667 5.44444444444444 NA "Pygmy marmoset" 18.6 high 110.7 0.599
Cebuella pygmaea 0.133 0.812777777777778 6.11111111111111 NA "Pygmy marmoset" 18.6 high 110.7 0.599
Neurotrichus gibbsii 0.0118 0.258288888888889 21.8888888888889 NA NA NA NA NA NA
Echinosorex gymnura 0.7212 2.80466666666667 3.88888888888889 NA Moonrat NA low 721.2 2.816
Genetta tigrina 1.698 4.15066666666667 2.44444444444444 NA "Large-spotted genet" 21.3 acceptable 1699 4.189
Martes americana 1.038 3.81176666666667 3.67222222222222 NA "American marten" 17.8 acceptable 966.5 3.579
Scalopus aquaticus 0.048 0.376 7.83333333333333 NA "Eastern mole" NA low 48 0.378
Spalacopus cyanus 0.185 0.811944444444444 4.38888888888889 NA Coruro 10.8 acceptable 126.2 0.561
Cannomys badius 0.344 0.955555555555556 2.77777777777778 NA "Lesser bamboo rat" 4.8 acceptable 344 0.96
Aplodontia rufa 0.63 1.54 2.44444444444444 NA "Mountain beaver" NA low 706.8 1.892
Galerella sanguinea 0.54 2.28 4.22222222222222 NA "Slender mongoose" 12.6 acceptable 519.6 2.202
Oreamnos americanus 32 46.2222222222222 1.44444444444444 NA "Mountain goat" 20.8 acceptable 32000 46.414
Eremitalpa granti 0.02062 0.0603888888888889 2.92865610518375 NA NA NA NA NA NA
Hydromys chrysogaster 0.77 2.541 3.3 NA "Golden-bellied water rat" 7.3 acceptable 900 2.97
Mus musculus 0.0321 0.2889 9 NA "House mouse" 4 high 18 0.271
